title,category,sub_category,price,sale_price,country,alcohol,volume,brand,url,scrapped_time,desc_1,desc_2,desc_3
Sailor Jerry Spiced Rum 700ML,Rum,Imported Rum,"7,675","6,900",USA,40%,700ML,Sailor Jerry,https://liquorworld.com.np/product/sailor-jerry-spiced-rum-700ml/,2023-09-25,Norman ‘Sailor Jerry’ Collins was the father of old school tattooing and was a master craftsman whose artistry and integrity remain as timeless as the liquid that bears his signature.,"Sailor Jerry Spiced Rum was developed after loads of historical research into maritime rums. It is blended with local natural spices, namely Vanilla and Lime. The all-natural spices and flavors that gives rum a rich, smooth taste characterized by top notes of vanilla and cinnamon.",Tasting Notes: Flavors of vanilla and oak with hints of clove and cinnamon spices.
Wyborowa Exquisite Vodka 750ML,Vodka,Imported Vodka,"10,329","9,390",Poland,40%,750ML,Wyborowa,https://liquorworld.com.np/product/wyborowa-exquisite-vodka-750ml/,2023-09-25,"Wyborowa Exquisite is a super premium single estate vodka, which means one type of rye, one distillery, one rectification plant and one bottling location.",Wyborowa Exquisite is made from one of the noblest varieties of rye – Dankowskie Diamond. This unique grain gives the vodka a creamy texture with dominant nutty and sweet notes.,The grain used to produce Wyborowa Exquisite comes from fields surrounding traditional rural distillery. The top-quality rectified spirit is diluted with water sourced from an underground spring.
Yeti Vodka 750ML,Vodka,Domestic Vodka,"2,260","2,190",Nepal,40%,750ML,Yeti,https://liquorworld.com.np/product/yeti-vodka-750ml/,2023-09-25,"Introducing, YETI VODKA, Magic in a bottle.",This vodka will take you on a MAGICAL journey of flavours – silky smooth on the palate with a distinctly bright mouthfeel and pleasantly sweet finish.,Quadruple distilled with triple platinum filtered.
The Yamazaki Single Malt Distiller’s Reserve 700ML,Japanese-Liquor,Japanese Liquor,"32,000","30,400",Japan,Single Malt,700ML,Yamazaki,https://liquorworld.com.np/product/the-yamazaki-single-malt-distillers-reserve-700ml/,2023-09-25,43%,Known as “the pioneer of Japanese whisky” Yamazaki® is Japan’s first and oldest distillery.,"Established in 1923 on the periphery of Kyoto, in a unique, misty region water and mountains offer diversity in nature and temperature, where conditions are ideal for ageing whisky lies the birthplace of Japanese whisky and Suntory’s flagship single malt, Yamazaki."
Campari Bitter 1L,Liqueur,Liqueur,"8,825","7,950",Italy,25%,1L,Campari,https://liquorworld.com.np/product/campari-bitter-1l/,2023-09-25,"Campari Bitter is one of the world-famous Italian aperitifs with its distinctive red colour, citrussy aroma and pleasantly bitter-sweet flavour made by infusing 68 bitter herbs, aromatic plants and fruit in alcohol and water. The result is a rich, complex aperitif which can be enjoyed mixed with orange juice, grapefruit juice or soda over ice or in an Americano or Italian Mojito Cocktails.",Color: Red almost burgundy,"Smell: Light flowers, herbal hints, orange peel"
The Yamazaki Single Malt 12 Years 700ML,Japanese-Liquor,Japanese Liquor,"44,000","41,800",Japan,43%,700ML,Yamazaki,https://liquorworld.com.np/product/the-yamazaki-single-malt-12-years-700ml/,2023-09-25,Known as “the pioneer of Japanese whisky” Yamazaki is Japan’s first and oldest distillery.,"Established in 1923 on the periphery of Kyoto, in a unique, misty region water and mountains offer diversity in nature and temperature, where conditions are ideal for ageing whisky lies the birthplace of Japanese whisky and Suntory’s flagship single malt, Yamazaki.","Yamazaki 12-Year-Old offers a characteristically refined Japanese taste, distinguished by an aroma of ripened fruit and a sweet vanilla fragrance thanks to malt whiskies matured in white oak casks. Hidden flavours from the whiskies aged in sherry and mizunara casks produce layer after layer of flavour so the taste never grows tiresome."
Jagermeister 750ML,Liqueur,Liqueur,"5,580","5,075",Germany,35%,750ML,Jagermeister,https://liquorworld.com.np/product/jagermeister-750ml/,2023-09-25,"Jägermeister is the most successful liqueur brand world-wide and ranks on seventh place in the leading Impact International ranking of the international premium spirits. It started with the foundation of the family-owned company in Wolfenbüttel in 1878. 1934 Curt Mast created the secret recipe for Jägermeister, which has remained unchanged since then. Jägermeister herb liqueur is a secret recipe of 56 herbs, roots and fruits. They combine to create a smooth, rich flavour, with a distinctive bitter sweet finish.","Every drop of Jägermeister comes from one of the 445 Oak barrels that live in the factory cellar. In the darkness of their depths, the macerates are left to blend and mature for up to a year until they become liquid German perfection. It has 5 distinct notes; sweet, bitter, fruity, spicy and aromatic.",Best served as an ice-cold shot.
Grand Marnier Liqueur 1L,Liqueur,Liqueur,"17,428","15,650",France,40%,1L,Grand Marnier,https://liquorworld.com.np/product/grand-marnier-liqueur-1l/,2023-09-25,"Grand Marnier is a French brand of Liqueur founded in 1880 by Louis-Alexandre Marnier Lapostolle. It is an orange-flavoured liqueur made from a blend of Cognac brandy, distilled essence of bitter orange, and sugar. Even though it is a flavored liqueur, it has 40% alcohol by volume, which is more than most other flavored liqueurs.",Color: Brilliant amber and topaz tones.,Nose: Vanilla cognac nuances with hints of candied zest.
Jagermeister 1L,Liqueur,Liqueur,"7,400","6,730",Germany,35%,1L,Jagermeister,https://liquorworld.com.np/product/jagermeister-1l/,2023-09-25,"Jägermeister is the most successful liqueur brand world-wide and ranks on seventh place in the leading Impact International ranking of the international premium spirits. It started with the foundation of the family-owned company in Wolfenbüttel in 1878. 1934 Curt Mast created the secret recipe for Jägermeister, which has remained unchanged since then. Jägermeister herb liqueur is a secret recipe of 56 herbs, roots and fruits. They combine to create a smooth, rich flavour, with a distinctive bitter sweet finish.","Every drop of Jägermeister comes from one of the 445 Oak barrels that live in the factory cellar. In the darkness of their depths, the macerates are left to blend and mature for up to a year until they become liquid German perfection. It has 5 distinct notes; sweet, bitter, fruity, spicy and aromatic.",Best served as an ice-cold shot.
Drambuie Liqueur 1L,Liqueur,Liqueur,"15,010","13,500",Scotland,40%,1L,Drambuie,https://liquorworld.com.np/product/drambuie-liqueur-1l/,2023-09-25,"Drambuie Scotch Whisky Liqueur is an extraordinary blend of aged Scotch whisky, spices, herbs and heather honey. It has a bright, deep golden colour with the aromas of aged malt whisky combined with a mix of floral and herbal overtones and rich honey. The flavour provides a kaleidoscopic taste sensation, a complex arrangement of herbal, spicy, sweet and honey notes. It’s voluptuous, mellifluous and full bodied.",Drambuie origins can be traced to a secret recipe created for Bonnie Prince Charlie by his Royal Apothecary in the 18th Century. It is derived from Scots Gaelic ‘A Dram Buidheach’ and means “The Drink that Satisfies”.,
Cointreau Orange Liqueur 1L,Liqueur,Liqueur,"14,682","13,200",France,40%,1L,Cointreau,https://liquorworld.com.np/product/cointreau-orange-liqueur-1l/,2023-09-25,"Cointreau Orange is a premium orange flavoured liqueur produced in Saint-Bartheemy-d’Anjou, France that was established in 1849. It is crafted through the unique distillation of sweet and bitter orange peels, features only 100% natural ingredients, resulting in a crystal-clear liqueur that strikes the perfect balance between sweetness and freshness.","Cointreau is well recognised as a cocktail elevator with limitless versatility: it is at the original heart of some of the most famous classic cocktails since their creation, such as the Sidecar, Margarita, White Lady and Cosmopolitian.",Enjoyed as a refreshing long drink topped with soda and a squeeze of lime.
Benedictine DOM 1L,Liqueur,Liqueur,"15,140","13,600",France,40%,1L,Benedictine,https://liquorworld.com.np/product/benedictine-dom-1l/,2023-09-25,"Benedictine is a French herbal liqueur, produced since the 1800s. Distilled and aged in a flamboyant palace, built in Fécamp. Bénédictine D.O.M is a secret recipe of 27 traditional roots, herbs and spices from five continents. These include a blend of herbs, spices and an infusion of saffron, honey, thyme, tea and caramel. The quality of ingredients and the maturation of Benedictine in oak casks for three months combine to produce a truly unique spirit.","The D.O.M. title, ‘Deo Optimo Maximo’ is Latin and translates as ‘To God most good, most great.’ One of the best liqueurs of the century!","Colour: Rich, coppery with golden highlights."
Baileys Original 1L,Liqueur,Liqueur,"7,300","6,640",Ireland,17%,1L,Baileys,https://liquorworld.com.np/product/baileys-original-1l/,2023-09-25,"One of life’s most pleasurable indulgences, Baileys Original Irish Cream is the sweetest belnd of fine Irish whiskey and spirits, Irish dairy cream, rich chocolate and vanilla flavours resulting a complete deliciousness.","Drink neat over ice, shake into cocktails, drizzle over ice-cream, bake a Baileys-tastic cake – perhaps even share it if you have to – Baileys Original Irish Cream equals pure, unadulterated pleasure.","Go on, you know you want to!"
Martini Rosso 1L,Liqueur,Liqueur,"3,250","3,100",Italy,15%,1000ML,Martini,https://liquorworld.com.np/product/martini-rosso-1l/,2023-09-25,"Martini Rosso is an Italian vermouth, first created by Martini in 1863, which claimed to be the world’s first vermouth.","This sweet vermouth’s intensely herbal character is the result of blending carefully chosen wines with a complex selection of Italian herbs, including sage, savory and dittany, and bitter-sweet exotic woods.","The distinctive colour is produced by the addition of caramel, which also tempers the bittersweet effect of the 50+ herbs and spices used in production."
Smirnoff Blue Vodka 1L,Vodka,Imported Vodka," 6,950",N/A,Russia,50%,1L,Smirnoff,https://liquorworld.com.np/product/smirnoff-blue-vodka-1l/,2023-09-25,"Smirnoff Blue is the Super-Premium vodka of the Smirnoff family, with triple distillation and ten passes through filtration for maximum purity and exceptional smoothness. This is the export strength version of Smirnoff Blue, bottled at 50% and their highest strength expression on the market. This Smirnoff 100% Proof vodka is Kosher Certified and gluten free.","Tasting Notes: Clean, clear and crisp vodka with a clean, grainy nose and a hint of sweetness. Both sweet and strong with a hint of vanilla.",Give your cocktails or mixers an extra added kick.
Smirnoff Black Vodka 1L,Vodka,Imported Vodka," 6,650",N/A,Russia,40%,1L,Smirnoff,https://liquorworld.com.np/product/smirnoff-black-vodka-1l/,2023-09-25,"Smirnoff Black Label Vodka is crafted in small batches using a 150-year-old copper still to create a vodka that is wonderfully complex and concentrated. The special distillation process produces a rounder, more refined palate that is ideally suited to enjoying in classic cocktails, like a Vodka Martini.",This premium variant of Smirnoff is pot-distilled and filtered through seven tons of charcoal in a painstaking production process designed to produce a vodka of rare purity.,
Highlander Vodka 750ML,Vodka,Domestic Vodka,"1,140","1,120",Nepal,34.3%,750ML,Highlander,https://liquorworld.com.np/product/highlander-vodka-750ml/,2023-09-25,"Highlander Pure White Vodka is refreshingly smooth and delicious vodka made with aged golden grain spirit and natural Himalayan glacier water only. Crafted with 100% pure spirit filtered by special Russian Triple Filtration process, to deliver an unmatched drinking experience.",,
Grey Goose Vodka 1L,Vodka,Imported Vodka,"12,500","11,750",France,40%,1L,Grey Goose,https://liquorworld.com.np/product/grey-goose-vodka-1l/,2023-09-25,"Grey Goose Vodka is made from the best ingredients from France, soft winter wheat and Gensac spring water. It is produced using a five-step distillation process in a copper pot still using a selection of the finest grains. Blended with water naturally purified through champagne limestone from the Gente Springs in Cognac, France; Grey Goose is created under the watchful eye of a master distiller.","Grey Goose claims to make the “World’s best tasting vodka”. Once poured over ice, it is very hard to argue with them!",Nose: Delicate & Floral.
Gran Vina Semi Sweet Red 750ML,Wine,Red Wine,"1,100","1,025",Spain,10.5%,750ML,Gran Vina,https://liquorworld.com.np/product/gran-vina-semi-sweet-red-750ml/,2023-09-25,Semi sweet red wine made with Tempranillo and Garnacha grapes from a very famous family winery.,"Goes well with barbecue meats, pasta, rice, casseroles and fowl.",Serving Temperature: 12°-14° C.
Pernod Paris 1L,Liqueur,Liqueur,"5,720","5,400",France,40%,1L,Pernod,https://liquorworld.com.np/product/pernod-paris-1l/,2023-09-25,"Pernod Paris is a traditional French liqueur referred to as a “pastis”, with a distinct aniseed flavour. It is made from distillates of star anise and fennel, married with distillates of 14 herbs including camomile, coriander and veronica.","Tasting Note: An electric green colouring with herb, liquorice and citrus aroma, and a smooth and sweet medium palate, featuring lingering white pepper and strong anise qualities.",Best served long with water and plenty of ice.
Vina Pomal Crianza 750ML26,Wine,Red Wine,"2,859","2,660",Spain,14%,750ML,Vina Pomal,https://liquorworld.com.np/product/vina-pomal-crianza-750ml/,2023-09-25,Tempranillo,Colour: Picota cherry red with violet hues.,"Nose: High aromatic intensity. Flowers, black fruits and liquorice with hints of vanilla and roasted coffee."
Martini Extra Dry 1L,Liqueur,Liqueur,"3,250","3,100",Italy,18%,1L,Martini,https://liquorworld.com.np/product/martini-extra-dry-1l/,2023-09-25,"Martini Extra Dry introduced on New Year’s Day 1900. Its rare woods, herbs, citrus and raspberry extracts are the pillar of the 20th century’s defining drink: the Dry Martini cocktail.","Elegant, delicate and very cool, it is the essential ingredient and the perfect mixer. Characterised by its pale colour and fresh and fruity aromas, Martini Extra Dry is delicious over ice with lemonade or apple juice.",
Le Favori Triple Sec 700ML,Liqueur,Liqueur,"5,500","5,000",France,40%,700ML,Le Favori,https://liquorworld.com.np/product/le-favori-triple-sec-700ml/,2023-09-25,"Le Favori Triple Sec is an orange-flavoured French liqueur made from the dried peels of bitter and sweet orange. Triple sec may be consumed neat as a digestif or on the rocks, but nowadays is mostly used in making cocktails such as the Margarita, White Lady, and Cosmopolitan.","A symphony with the exotic aroma, fruity and ripe oranges; intoxicating sweet and spicy taste.",
Molinari Sambuca Extra Liqueur 1L,Liqueur,Liqueur,"12,879","11,550",Italy,40%,1L,Molinari,https://liquorworld.com.np/product/molinari-sambuca-extra-liqueur-1l/,2023-09-25,"Created in 1945 by Angelo Molinari and now one of Italy’s most celebrated masterpieces- a smooth, rich, full-bodied liqueur he proudly named Molinari Sambuca.",Molinari Sambuca is the best-selling liqueur in Italy and the most cherished Sambuca in the world. It is the only brand permitted by Italian law to use the term ‘Extra’ because of its extra quality.,"Sweet and strong, this Italian liqueur is made from a secret recipe that includes star anise pods, sugar, herbs and other spice. Its distinctive anise aroma and flavor is perfect neat, on the rocks, with a few coffee beans added or in cocktails."
Vesper Vino Rosato IGP 750ML,Wine,Rose Wine,"1,925","1,790",Italy,12.5%,750ML,Vesper,https://liquorworld.com.np/product/vesper-vino-rosato-igp-750ml/,2023-09-25,"Sangiovese, Merlot, Montepulciano",Colour: Intense pink in colour.,"Nose: Characterized by fresh, fragrant light and persistent bouquet."
Terra De Pau Blanc 750ML,Wine,White Wine,"2,350","2,185",Spain,12%,750ML,Terra De Pau,https://liquorworld.com.np/product/terra-de-pau-blanc-750ml/,2023-09-25,"White Grenache, Macabeo","Pale lemon-green color, this wine stands out for its freshness and aromatic richness.",Dry and light body if you compare with the wines from this region.
Terra De Pau Negre 750ML,Wine,Red Wine,"2,350","2,185",Spain,13%,750ML,Terra De Pau,https://liquorworld.com.np/product/terra-de-pau-negre-750ml/,2023-09-25,"Garnacha, Merlot, Cabernet Sauvignon, Tempranillo",Red color with purple hints indicative of its youth.,"It is a fruity, fresh and balanced wine with medium body."
Parxet Cava Brut Reserva 750ML,Wine,Sparkling Wine,"3,095","2,880",Spain,11.5%,750ML,Parxet,https://liquorworld.com.np/product/parxet-cava-brut-reserva-750ml/,2023-09-25,"Pansa Blanca, Macabeo, Parellada","Colour: Pale in hue with a greenish tinge, fine, persistent bubbles and good mousse.",Nose: Delicate aromas of white fruits with more complex aromas coming from the ageing.
Stanley Chardonnay 4L,Wine,White Wine,"6,800","6,325",Australia,12.5%,4L,Stanley,https://liquorworld.com.np/product/stanley-chardonnay-4l/,2023-09-25,"A full-flavoured white wine with notes of peach, tropical fruits and hints of oak.",Colour: Medium straw.,Nose: Lifted tropical aromas with hints of peach and vanilla overtones.
Maison Castel Grande Reserve Syrah 750ML,Wine,Red Wine,"2,200","2,045",France,13.5%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-grande-reserve-syrah-750ml/,2023-09-25,Colour: Deep red robe with purple hints.,Nose: Spice and red fruit jam on the nose.,"Palate: Concentrated and mouth-filling, with powerful yet integrated tannins."
Maison Castel Grande Reserve Chardonnay 750ML,Wine,White Wine,"2,200","2,045",France,13.5%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-grande-reserve-chardonnay-750ml/,2023-09-25,Colour: Attractive yellow robe with green hints.,"Nose: Expressive, complex nose of exotic fruit with a light touch grilling.","Palate: Mouth-filling and fresh, round and long, with a hint of vanilla, brioche and mocha on the finish."
Lolita Vinho Verde Doc White 750ML,Wine,White Wine," 1,750",N/A,Portugal,11%,750ML,Lolita,https://liquorworld.com.np/product/lolita-vinho-verde-doc-white-750ml/,2023-09-25,"Arinto de Bucelas, Fernao Pires","A light, crisp, and slightly effervescent characteristics.","White Vinho Verde wines are typically known for their freshness, acidity, and citrusy notes. They often have a slightly effervescent quality, which can make them quite refreshing."
Lolita Red Wine 750ML,Wine,Red Wine," 1,750",N/A,Portugal,13%,750ML,Lolita,https://liquorworld.com.np/product/lolita-red-wine-750ml/,2023-09-25,"35% Trincadeira, 30% Tinta Roriz, 20% Touriga Franca & 15% Touriga Nacional",Lolita is a red wine that combines four very traditional grape varieties from Portugal and offers a wine that surprises all who taste it.,Intense fruit with a touch of wood and black pepper will surely be your new favourite.
Roche Mazet Muscat Medium Sweet Pays d’Oc 750ML,Wine,White Wine,"1,650","1,535",France,11.5%,750ML,Roche Mazet,https://liquorworld.com.np/product/roche-mazet-muscat-medium-sweet-pays-doc-750ml/,2023-09-25,Colour: Pale yellow with golden highlights.,Nose: Fine and delicate with string aromatic richness.,Palate: Fresh on the mouth with exotic fruits and honey aromas.
Roche Mazet Chardonnay Pays d’Oc 750ML,Wine,White Wine,"1,650","1,535",France,12.5%,750ML,Roche Mazet,https://liquorworld.com.np/product/roche-mazet-chardonnay-pays-doc-750ml/,2023-09-25,Colour: Displays a luminous pale robe with golden tints.,"Nose: Elegant blend of honeyed pear, fresh almond and sweet spice aromas.","Palate: Creamy and velvety with woody and vanilla flavours. The whole is crafted into a perfect combination of balance, roundness and elegance."
Palacio Del Campo Semi Sweet White 750ML111,Wine,White Wine,"1,200","1,115",Spain,11%,750ML,Palacio Del Campo,https://liquorworld.com.np/product/palacio-del-campo-semi-sweet-white-750ml/,2023-09-25,This wine is gold in colour with intense aromas of honeysuckle.,"The palate is full of sweet fruit flavours combined with elegant structure giving length to the slatey, mineral finish.",
Roche Mazet Merlot Pays d’Oc 750ML,Wine,Red Wine,"1,650","1,535",France,13%,750ML,Roche Mazet,https://liquorworld.com.np/product/roche-mazet-merlot-pays-doc-750ml/,2023-09-25,Colour: Lovely intense almost dark red colour with purple and violet tints.,"Nose: Elegant on the nose with aromas of fresh and jammy red fruit, and hints of cherry and blackberry.","Palate: The red fruit aromas team up with spicy and chocolate notes, wrapped up in velvety tannins. The slightly woody Merlot fruit is round and delicate and literally fills the mouth."
Palacio Del Campo Semi Sweet Red 750ML,Wine,Red Wine,"1,200","1,115",Spain,11%,750ML,Palacio Del Campo,https://liquorworld.com.np/product/palacio-del-campo-semi-sweet-red-750ml/,2023-09-25,"Cherry colour and black fruits nose, shows sweet ripe cherry and berry fruits.",The palate is sweetly fruited and ripe with nice elegance and some spicy tannins. It’s a classy wine: seductive and sweet with good concentration.,
Nere IGT 750ML,Wine,Red Wine,"3,090","2,850",Italy,14%,750ML,Nere,https://liquorworld.com.np/product/nere-igt-750ml/,2023-09-25,Nero d’ Avola,VESPER WINES,Colour: Ruby red.
Maison Castel Muscat Medium Sweet Pays d’Oc 750ML,Wine,White Wine,"1,870","1,740",France,12%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-muscat-medium-sweet-pays-doc-750ml/,2023-09-25,Colour: Light yellow robe with golden hints.,"Nose: Fine, delicate nose of exotic fruit and honey.",Palate: Intense freshness combined with pleasant sweetness.
Maison Castel Grenache Medium Sweet Pays d’Oc 750ML,Wine,Red Wine,"1,870","1,740",France,12.5%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-grenache-medium-sweet-pays-doc-750ml/,2023-09-25,Colour: Deep purple robe.,Nose: Strawberry and raspberry aromas.,"Palate: An expressive, mouth-filling wine with red fruit notes."
Maison Castel Sauvignon Blanc 750ML,Wine,White Wine,"1,870","1,740",France,11.5%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-sauvignon-blanc-750ml/,2023-09-25,Colour: Pale yellow robe.,Nose: Intense grapefruit and tropical fruit with mineral hints.,"Palate: Expressive, elegant and fresh."
Hardys VR Moscato 750ML 750ML,Wine,White Wine,"1,850","1,720",Australia,6%,750ML,Hardys,https://liquorworld.com.np/product/hardys-vr-moscato-750ml-750ml/,2023-09-25,Colour: Bright green hues.,Nose: Aromas of lychee and raisin with notes of flower.,"Palate: Sweet, crisp and full of tropical fruit flavours with a sweet finish. It is low in acidity and comprises very light tannins."
Maison Castel Bordeaux Sauvignon Blanc 750ML,Wine,White Wine,"2,100","1,955",France,12%,750ML,Maison Castel,https://liquorworld.com.np/product/maison-castel-bordeaux-sauvignon-blanc-750ml/,2023-09-25,Colour: Bright pale-yellow robe.,Nose: Intense citrus fruit and exotic fruit aromas.,"Palate: Complex, with good freshness, exotic fruit notes and a long finish."
Gran Vina Semi Sweet White 750ML10,Wine,White Wine,"1,100","1,025",Spain,10.5%,750ML,Gran Vina,https://liquorworld.com.np/product/gran-vina-semi-sweet-white-750ml/,2023-09-25,Semi sweet white wine made with Airen grapes from a very famous family winery.,"Goes well with fowl, fish soup and seafood.",Serving Temperature: 8°-10° C.
Lolita Red Wine 5L Box,Wine,Red Wine," 8,000",N/A,Portugal,13%,5000ML,Lolita,https://liquorworld.com.np/product/lolita-red-wine-5l-box/,2023-09-25,"35% Trincadeira, 30% Tinta Roriz, 20% Touriga Franca & 15% Touriga Nacional",Lolita is a red wine that combines four very traditional grape varieties from Portugal and offers a wine that surprises all who taste it.,Intense fruit with a touch of wood and black pepper will surely be your new favourite.
