title,category,sub-category,price,sale_price,in_stock,country,volume,alcohol,brand,url,scrapped_time,desc_1,desc_2,desc_3
Hakodate Myura Dry White 720ML,Japanese-Liquor,Wines,"Rs. 4,180",N/A,1,Japan,720ML,12%,Hakodate,https://cheers.com.np/liquor/product/hakodate-myura-dry-white-720ml,2023-09-24,"• The ""Hokkaido 100 Series"", which is particular about the ingredients produced in Hokkaido, uses 100% of the wine-specific varieties of grapes.",• Müller-Torgau is a dry wine with a scent reminiscent of young grasslands and a mild acidity.,• You can enjoy the authentic taste unique to the exclusive variety.
Hakodate Niagara Casual Sweet White 720ML,Japanese-Liquor,Wines,"Rs. 3,170",N/A,1,Japan,720ML,12%,Hakodate,https://cheers.com.np/liquor/product/hakodate-niagara-casual-sweet-white-720ml,2023-09-24,• Slightly sweet wine.,• Peculiar grape sweetness with some hints of pears and lychee.,• Refreshing acidity and clear aftertaste.
Hakutsuru Awa Yuki Sparkling Sake 300ML,Japanese-Liquor,Sake,"Rs. 1,180",N/A,1,Japan,300ML,5.5%,Hakutsuru,https://cheers.com.np/liquor/product/hakutsuru-awa-yuki-sparkling-sake-300ml,2023-09-24,"• Affectionately known as the ""sparkling snow,"" this Sake is light, fizzy and mildly sweet, perfect for sharing or just for you!","• Hints of delicate cucumber, peach and marshmallows make this an irresistible treat to beat any summer heat.","•  It cuts through greasy foods with ease, so try it with anything from tempura to pizza to hot wings! Also great with fresh flavors like watermelon and mint salad."
Sauza Silver 1L,Tequila,Tequila,"Rs. 7,600",N/A,0,Mexico,1000ML,38%,Sauza,https://cheers.com.np/liquor/product/sauza-silver-1l,2023-09-24,"As one of the first spirits to come out of the storied tequila house, Sauza Silver delivers the crisp, refreshing agave flavour you'd expect from a true pioneer. This tequila has the aroma of fresh green apple notes, followed by jasmine and hints of fine spice.",,
Sauza Gold 1L,Tequila,Tequila,"Rs. 7,600",N/A,0,Mexico,1000ML,38%,Sauza,https://cheers.com.np/liquor/product/sauza-gold-1l,2023-09-24,"In every sip of Sauza Gold, you'll find the fresh agave taste you expect, plus an extra hint of cooked agave and vanilla. Pale yellow/amber colour; aromas of lime zest, vanilla, hints of anise and spice with apricot/peach and pepper notes.",The smooth style of Sauza Gold is renowned for straight shots and hand-shaken or blended margaritas.,
Pepe Lopez Silver 1L,Tequila,Tequila,"Rs. 7,100",N/A,0,Mexico,1000ML,40%,Pepe Lopez,https://cheers.com.np/liquor/product/pepe-lopez-silver-1l,2023-09-24,"Pepe Lopez Silver is made from a combination of natural spring water and the highest quality, mature blue agave plants. The fermented juice of the agave is then double distilled to ensure its appealing flavor. Pepe Lopez Silver is a sparkling clear tequila with a fresh lime and agave taste.",,
Pepe Lopez Gold 1L,Tequila,Tequila,"Rs. 7,100",N/A,0,Mexico,1000ML,40%,Pepe Lopez,https://cheers.com.np/liquor/product/pepe-lopez-gold-1l,2023-09-24,"Pepe Lopez Gold is made from a combination of natural spring water and the highest quality, mature blue agave plants. The fermented juice of the agave is then double distilled to ensure its appealing flavor.",Pepe Lopez Gold is light amber with a spicy citrus taste; the key ingredient for the perfect margarita.,
Patron XO Cafe 750ML,Tequila,Tequila,"Rs. 12,500",N/A,0,Mexico,750ML,35%,Patron,https://cheers.com.np/liquor/product/patron-xo-cafe-750ml,2023-09-24,"A DARK, DELICIOUS BLEND",Patrón XO Cafe combines Patrón tequila with the natural essence of Arabica coffee.,"Excellent for sipping, in cocktails or as a dessert ingredient."
Olmeca Silver 700ML,Tequila,Tequila,"Rs. 5,795",N/A,0,Mexico,700ML,38%,Olmeca,https://cheers.com.np/liquor/product/olmeca-silver-700ml,2023-09-24,"Exclusively distilled in copper pot stills to achieve a cleaner tequila, which is bottled straight after distillation. Olmeca Silver has fresh herbal notes, complemented by green pepper and with a soft citric finish. Sweet and slight smoky with a final soft honey flavour.",,
Olmeca Gold 700ML,Tequila,Tequila,"Rs. 5,895",N/A,0,Mexico,700ML,38%,Olmeca,https://cheers.com.np/liquor/product/olmeca-gold-700ml,2023-09-24,"This unique blend of young and aged tequilas has a clean and harmonic balance of fresh tequila and wooden notes coming from aging in white American oak barrels. Pale straw colour; white pepper and grain aromas with floral notes; full, powerful palate with a hot finish.",,
Jose Cuervo Silver 750ML,Tequila,Tequila,"Rs. 7,425",N/A,1,Mexico,750ML,40%,Jose Cuervo,https://cheers.com.np/liquor/product/jose-cuervo-silver-750ml,2023-09-24,"No one has made tequila longer. Or better. In 1795, Jose María Guadalupe de Cuervo began selling the very first Vino Mezcal de Tequila de Jose Cuervo after receiving the first official charter from the King of Spain to produce tequila commercially. Cuervo has been producing tequila at La Rojeña, the oldest active distillery in Latin America, ever since.","A true silver tequila, Cuervo Silver is the epitome of smooth. The master distillers at La Rojeña crafted this unique and balanced blend to bring out tones of agave, caramel, and fresh herbs in its flavour profile.",
Jose Cuervo Gold 750ML,Tequila,Tequila,"Rs. 7,425",N/A,1,Mexico,750ML,40%,Jose Cuervo,https://cheers.com.np/liquor/product/jose-cuervo-gold-750ml,2023-09-24,"No one has made tequila longer. Or better. In 1795, Jose María Guadalupe de Cuervo began selling the very first Vino Mezcalde Tequila de Jose Cuervo after receiving the first official charter from the King of Spain to produce tequila commercially. Cuervo has been producing tequila at La Rojeña, the oldest active distillery in Latin America, ever since.","Legend has it that Especial Reposado was used to make the first ever Margarita, the world’s best selling cocktail. Jose Cuervo Especial Reposado is a blend of Reposado and younger tequilas. The result is a well-balanced, smooth tequila.",
Don Angel Oro Gold 700ML,Tequila,Tequila,"Rs. 5,200",N/A,1,Mexico,700ML,38%,Don Angel,https://cheers.com.np/liquor/product/don-angel-oro-gold-700ml,2023-09-24,Don Angel Oro Tequila is perfect for use in cocktails.,"Elegant and delicate, yet with real complexity of flavour.",The delicate aroma of Don Angel is a great choice for many lemon-based cocktails.
Don Angel Blanco Silver 700ML,Tequila,Tequila,"Rs. 5,200",N/A,1,Mexico,700ML,38%,Don Angel,https://cheers.com.np/liquor/product/don-angel-blanco-silver-700ml,2023-09-24,Don Angel Blanco Tequila is perfect for use in cocktails.,"Elegant and delicate, yet with real complexity of flavour.",The delicate aroma of Don Angel is a great choice for many lemon-based cocktails.
Sierra Cafe 700ML,Tequila,Tequila,"Rs. 5,000",N/A,1,Mexico,700ML,25%,Sierra,https://cheers.com.np/liquor/product/sierra-cafe-700ml,2023-09-24,Sierra has long been Australia's introduction to Tequila.,"Born from the high reaches of Jalisco, Mexico, the iconic sombrero invokes memories of good times and celebration for generations of party goers around the nation.","Sierra Café is a combination of Sierra Silver blended with 100% Mexican coffee flavours, perfectly balancing Sierra Tequila fruitiness with notes of natural roasted Mexican coffee."
Patron Reposado 750ML,Tequila,Tequila,"Rs. 12,500",N/A,0,Mexico,750ML,40%,Patron,https://cheers.com.np/liquor/product/patron-reposado-750ml,2023-09-24,A FINE BALANCE,"Patrón Reposado is handcrafted from the finest 100% Weber Blue Agave and is carefully distilled in small batches at Hacienda Patrón distillery in Jalisco, Mexico. It is then aged in a variety of barrels for three to five months.",COLOUR: Light amber tint
Patron Silver 750ML,Tequila,Tequila,"Rs. 12,500",N/A,0,Mexico,750ML,40%,Patron,https://cheers.com.np/liquor/product/patron-silver-750ml,2023-09-24,A FINE TEQUILA BALANCE,"Patrón Silver is handcrafted from the finest 100% Weber Blue Agave and is carefully distilled in small batches at Hacienda Patrón distillery in Jalisco, Mexico.",COLOUR: Crystal clear
Agavita Silver 700ML,Tequila,Tequila,"Rs. 5,200",N/A,1,Mexico,700ML,38%,Agavita,https://cheers.com.np/liquor/product/agavita-silver-700ml,2023-09-24,"Agavita Tequila Blanco is a colourless, earthy tequila with flavours of Agave and slight hints of mint and pepper. A great value for money Mexican tequila.",,
Agavita Gold 700ML,Tequila,Tequila,"Rs. 5,200",N/A,1,Mexico,700ML,38%,Agavita,https://cheers.com.np/liquor/product/agavita-gold-700ml,2023-09-24,"The Agavita Tequila Gold is pale straw, earthy tequila with tastes of Agave and slight notes of caramel on the finish. Designed for the connoisseurs who aren't afraid of a little heat, this tequila stands out from the crowd. Agavita Gold is the result of short ageing in wooden casks, which in no way inhibits the spiciness of the cactus!",Nice and smooth!,
Jose Cuervo Silver 1L,Tequila,Tequila,"Rs. 9,885",N/A,1,Mexico,1000ML,40%,Jose Cuervo,https://cheers.com.np/liquor/product/jose-cuervo-silver-1l,2023-09-24,"No one has made tequila longer. Or better. In 1795, Jose María Guadalupe de Cuervo began selling the very first Vino Mezcal de Tequila de Jose Cuervo after receiving the first official charter from the King of Spain to produce tequila commercially. Cuervo has been producing tequila at La Rojeña, the oldest active distillery in Latin America, ever since.","A true silver tequila, Cuervo Silver is the epitome of smooth. The master distillers at La Rojeña crafted this unique and balanced blend to bring out tones of agave, caramel, and fresh herbs in its flavour profile.",
Jose Cuervo Gold 1L,Tequila,Tequila,"Rs. 9,885",N/A,1,Mexico,1000ML,40%,Jose Cuervo,https://cheers.com.np/liquor/product/jose-cuervo-gold-1l,2023-09-24,"No one has made tequila longer. Or better. In 1795, Jose María Guadalupe de Cuervo began selling the very first Vino Mezcalde Tequila de Jose Cuervo after receiving the first official charter from the King of Spain to produce tequila commercially. Cuervo has been producing tequila at La Rojeña, the oldest active distillery in Latin America, ever since.","Legend has it that Especial Reposado was used to make the first ever Margarita, the world’s best selling cocktail. Jose Cuervo Especial Reposado is a blend of Reposado and younger tequilas. The result is a well-balanced, smooth tequila.",
Camino Real Silver 750ML,Tequila,Tequila,"Rs. 6,500",N/A,1,Mexico,750ML,40%,Camino,https://cheers.com.np/liquor/product/camino-real-silver-750ml,2023-09-24,"Thanks to its pure taste, Camino Real Tequila Blanco is suitable for several tequila-based cocktails. The agaves used in making Camino Real grow in fields at 2,000 metres above sea level, hence the name Camino, i.e. “high” in Spanish.",,
Camino Real Gold 750ML,Tequila,Tequila,"Rs. 6,500",N/A,1,Mexico,750ML,40%,Camino,https://cheers.com.np/liquor/product/camino-real-gold-750ml,2023-09-24,"The golden amber-like colour of Camino Real Gold Tequila results from the drink seasoning in oak barrels which adds a light bitterish-sweet subtone to the taste. The agaves used in making Camino Real grow in fields at 2,000 metres above sea level, hence the name Camino, i.e. “high” in Spanish.",,
1800 Reposado 750ML,Tequila,Tequila,"Rs. 9,615",N/A,1,Mexico,750ML,40%,1800,https://cheers.com.np/liquor/product/1800-reposado-750ml,2023-09-24,"Crafted using matured 100% Weber blue agave grown in volcanic soil and handpicked at peak maturity, a special selection of white tequilas are rested in new American and French oak barrels.","The result is a rich liquid with notes of buttery caramel, mild spices and a touch of smokiness. Perfect mixed in a cocktail, sipped neat or on the rocks.",Bright honey
1800 Blanco Silver 750ML,Tequila,Tequila,"Rs. 9,615",N/A,1,Mexico,750ML,40%,1800,https://cheers.com.np/liquor/product/1800-blanco-silver-750ml,2023-09-24,"The most popular super-premium tequila, 1800® Blanco follows the original formula created in the year 1800. Made from 100% Weber blue agave and handpicked at its peak maturity, 1800 Blanco is a special selection of white tequilas blended for added complexity and character.","The smooth, balanced taste with hints of sweet fruit and pepper is perfect sipped neat, on the rocks, as a shot or in a cocktail.",Crystal clear
1800 Anejo 750ML,Tequila,Tequila,"Rs. 9,900",N/A,1,Mexico,750ML,40%,1800,https://cheers.com.np/liquor/product/1800-anejo-750ml,2023-09-24,"100% Blue weber agave is harvested at its peak, double-distilled in copper stills, and aged in new American and French oak barrels for more than a year.","This dark amber spirit boasts an oaky vanilla aroma, nutty with toffee flavor, and a peppery spice finish. Deep and luxurious, this tequila is ideal for sipping.",Dark amber
Yeti Blonde Premium Craft Lager 650ML x 4 Bottles + 1 Glass Free,Offers,Offers,"Rs. 1,600",N/A,1,Nepal,650ML,5.2%,Yeti,https://cheers.com.np/liquor/product/yeti-blonde-premium-craft-lager-650ml-x-4-bottles-1-glass-free,2023-09-24,~~ Yeti Blonde Premium Craft Beer Special Offer ~~,Buy Four 650ML Bottles and Get 1 Exclusive Beer Glass FREE!,~~~~~~
Yeti Blonde 650ML x 5 Bottles (Rs 250 OFF),Offers,Offers,"Rs. 1,500",N/A,1,Nepal,650ML,5.2%,Yeti,https://cheers.com.np/liquor/product/yeti-blonde-650ml-x-5-bottles-rs-250-off,2023-09-24,~~ Yeti Blonde Premium Craft Lager 650ML,! ~~,"Yeti Blonde is affectionately crafted using an extended aging process resulting in a remarkably clean, smooth, refreshing & balanced lager with a perfect harmony of hops, malt & yeast."
Warsteiner 650ML x 4 Bottles (Rs 300 OFF),Offers,Offers,"Rs. 1,500",N/A,1,Nepal,650ML,4.8%,Warsteiner,https://cheers.com.np/liquor/product/warsteiner-650ml-x-4-bottles-rs-300-off,2023-09-24,~~ Warsteiner 650ML,! ~~,"A refreshing, pale golden pilsener with a clean taste perfectly balanced with hints of barley malt, subtle bottom fermenting yeast tones and mild hoppy bitterness."
Virgin Black 750ML + 1 Glass Free,Offers,Offers,"Rs. 1,060",N/A,1,Nepal,750ML,34.3%,Virgin,https://cheers.com.np/liquor/product/virgin-black-750ml-1-glass-free,2023-09-24,~~ Limited Time Offer ~~,Get 1 glass free with each bottle!,~~~~~~~~~~~~~~~
Smirnoff Vodka 750ML (Bottled in Nepal) + 1 Tote Bag Free,Offers,Offers,"Rs. 2,200",N/A,1,Nepal,750ML,40%,Smirnoff,https://cheers.com.np/liquor/product/smirnoff-vodka-750ml-bottled-in-nepal-1-tote-bag-free,2023-09-24,Get 1 exclusive Tote Bag FREE with each bottle!,*** Offer valid only till stocks last.,~~~
SKYY Vodka 750ML (Bottled in Nepal) + 1 Glass Free,Offers,Offers,"Rs. 2,400",N/A,0,Nepal,750ML,40%,SKYY,https://cheers.com.np/liquor/product/skyy-vodka-750ml-bottled-in-nepal-1-glass-free,2023-09-24,~~ SKYY Vodka Special Offer ~~,Get 1 Exclusive Glass FREE with each Bottle! ~~~~~~,"Born in San Francisco in 1992, SKKY Vodka is made with grain based imported spirits."
Signature Rare Aged 1L + 1 Tote Bag Free,Offers,Offers,"Rs. 3,075",N/A,1,Nepal,1000ML,42.8%,Signature,https://cheers.com.np/liquor/product/signature-rare-aged-1l-1-tote-bag-free,2023-09-24,Get 1 exclusive Tote Bag FREE with each bottle!,*** Offer valid only till stocks last.,~~~
Signature Premier Grain 750ML + 1 Tote Bag Free,Offers,Offers,"Rs. 2,720",N/A,1,Nepal,750ML,42.8%,Signature,https://cheers.com.np/liquor/product/signature-premier-grain-750ml-1-tote-bag-free,2023-09-24,Get 1 exclusive Tote Bag FREE with each bottle!,*** Offer valid only till stocks last.,~~~
Signature Premier Grain 1L + 1 Tote Bag Free,Offers,Offers,"Rs. 3,400",N/A,1,Nepal,1000ML,42.8%,Signature,https://cheers.com.np/liquor/product/signature-premier-grain-1l-1-tote-bag-free,2023-09-24,Get 1 exclusive Tote Bag FREE with each bottle!,*** Offer valid only till stocks last.,~~~
Scottish Leader Original 1L + 2 Glasses Free,Offers,Offers,"Rs. 7,055",N/A,1,Scotland,1000ML,40%,Scottish Leader,https://cheers.com.np/liquor/product/scottish-leader-original-1l-2-glasses-free,2023-09-24,~~ Scottish Leader Original Special Offer ~~,Get 2 Exclusive Glasses FREE with each Bottle!,~~~~~~
San Miguel 650ML x 60 Bottles + 12 Bottles Free (Wedding Offer),Offers,Offers,"Rs. 22,500",N/A,1,Nepal,650ML,5%,San Miguel,https://cheers.com.np/liquor/product/san-miguel-650ml-x-60-bottles-12-bottles-free-wedding-offer,2023-09-24,~~ San Miguel Wedding Special Offer ~~,Buy 5 Cases and Get 1 Case FREE!,* Wedding Card and Venue Booking Slip Compulsory to avail the offer.
Old Monk The Legend Rum 750ML,Rum,Domestic Rum,"Rs. 2,500",N/A,1,Nepal,750ML,42.8%,Old Monk,https://cheers.com.np/liquor/product/old-monk-the-legend-rum-750ml,2023-09-24,Old Monk The Legend is an epitome of our relentless efforts for quality and perfection.,Spirits from various raw materials are matured in Silver Oak Wood Cask for mellowness and aroma then blended to make this exquisite rum.,The success of Old Monk Family is undisputed. Now comes The Legend to captivate rum connoisseurs the world over.
Khukri Coronation Rum 375ML,Rum,Domestic Rum,"Rs. 2,600",N/A,1,Nepal,375ML,42.8%,Khukri,https://cheers.com.np/liquor/product/khukri-coronation-rum-375ml,2023-09-24,This selected reserve was created in honour and respect on the prestigious occasion of Late King Birendra Bir Bikram Shah Dev's Coronation ceremony in 1974 and names it as Coronation Khukri.,"It is packed in a unique bottle shaped like a Khukri, which is a national symbol of pride, bravery and elegance.","As one of the honorary guests invited to the ceremony, the first Coronation Khukri was gifted to the King in his honour."
Diplomatico Reserva Exclusiva Rum 700ML,Rum,Imported Rum,"Rs. 8,075",N/A,1,Venezuela,700ML,40%,Diplomatico,https://cheers.com.np/liquor/product/diplomatico-reserva-exclusiva-rum-700ml,2023-09-24,"An elegant, complex sipping rum carefully crafted from the purest of sugar cane honey, aged in oak casks for up to twelve years.","Marrying a unique body with excellent balance, this multi award-winning rum is a reference for fine spirits lovers throughout the world. Perfect to enjoy neat or in sophisticated cocktails.",Amber
Diplomatico Mantuano Rum 700ML,Rum,Imported Rum,"Rs. 7,455",N/A,1,Venezuela,700ML,40%,Diplomatico,https://cheers.com.np/liquor/product/diplomatico-mantuano-rum-700ml,2023-09-24,"Matuano is an excellent blended rum aged for up to 8 years in white oak casks, which previously served to age bourbons and malt whisky. It combines column, batch kettle and pot still distillates elaborated from sugar cane, molasses and honeys.","With its strong notes of dried fruits, wood and vanilla, the Mantuano is the ideal rum for flavorful cocktails but can also be enjoyed neat.",Amber tawny with reddish tints.
Bacardi Carta Blanca Superior White 1L,Rum,Imported Rum,"Rs. 8,000",N/A,1,Cuba,1000ML,40%,Bacardi,https://cheers.com.np/liquor/product/bacardi-carta-blanca-superior-white-1l,2023-09-24,"Floral and fruity, BACARDÍ Carta Blanca rum serves up orange blossom, lavender and rose, teamed with apricot, lime, light coconut and ripe banana.","A sublime rum for cocktails, it doesn’t dominate other flavours nor does it disappear when mixed.",Perfect for classic rum cocktails like the Mojito.
Bacardi Black 750ML,Rum,Domestic Rum,"Rs. 1,650",N/A,1,Nepal,750ML,42.8%,Bacardi,https://cheers.com.np/liquor/product/bacardi-black-750ml,2023-09-24,• Premium Dark Rum  blended using rums of various ages in charred oak barrels.,"• It is blended using rums of various ages in charred oak barrels, then shaped through a secret blend of charcoals, to craft a dark rum that has a bold and intense taste.",• Add soda/water for a rich & bold taste.
Sailor Jerry Spiced 700ML,Rum,Imported Rum,"Rs. 7,675",N/A,1,U.S. Virgin Islands,700ML,40%,Sailor Jerry,https://cheers.com.np/liquor/product/sailor-jerry-spiced-700ml,2023-09-24,Norman 'Sailor Jerry' Collins was the father of old school tattooing and was a master craftsman whose artistry and integrity remain as timeless as the liquid that bears his signature.,"Sailor Jerry Caribbean Rum is blended with local natural spices, namely Vanilla and Lime. Most definitely a rum that is ""strong, but goes down smooth.""",
Captain Morgan Spiced Gold 1L,Rum,Imported Rum,"Rs. 6,700",N/A,1,United States of America,1000ML,35%,Captain Morgan,https://cheers.com.np/liquor/product/captain-morgan-spiced-gold-1l,2023-09-24,"Smooth and medium bodied, Captain Morgan Spiced Gold is a secret blend of Caribbean rums and mellow spice and other natural flavors. It gets its distinct richness and amber color from aging the rum in charred white oak barrels.",Captain Morgan Spiced Gold is the perfect mix with Cola – the secret recipe of spices blend with the Cola to make a legendary mix!,
Grand Master XXX Rum 750ML,Rum,Domestic Rum,"Rs. 1,800",N/A,1,Nepal,750ML,42.8%,Grand Master,https://cheers.com.np/liquor/product/grand-master-xxx-rum-750ml,2023-09-24,MASTER YOUR MOVE,Grand Master Rum is carefully crafted through time and attention to offer exceptionally great taste and mixability.,"Each bottle echoes the superior rum experience ingrained in its passionate origins and our attention to texture, depth and quality."
Old Monk XXX Rum 750ML,Rum,Domestic Rum,"Rs. 1,900",N/A,1,Nepal,750ML,42.8%,Old Monk,https://cheers.com.np/liquor/product/old-monk-xxx-rum-750ml,2023-09-24,Old Monk Rum is one of the most iconic rum brands of the world. The Old Monk XXX Rum contains blends which are matured for over 7 Years at a historically old distillery which dates back to 1855.,The Old Monk Rum comes in a classic vintage bottle further adds to the experience of drinking this fine very old vatted dark rum.,
Captain Morgan Black 1L,Rum,Imported Rum,"Rs. 6,600",N/A,1,United States of America,1000ML,40%,Captain Morgan,https://cheers.com.np/liquor/product/captain-morgan-black-1l,2023-09-24,"Captain Morgan Black rum has serious depth of flavor, recalling the navy ""rum rations"" which went down so well with sailors, swashbuckling adventurers and connoisseurs alike.","It is a blend of pot and continuous still rums from Jamaica, Guyana & Barbados and is aged in oak and has a dark, full-bodied color and distinctive rich taste that are unmistakable.",Try using Captain Morgan Black with ginger ale for a true taste of the Caribbean.
Khukri Spiced Rum 750ML,Rum,Domestic Rum,"Rs. 2,400",N/A,1,Nepal,750ML,42.8%,Khukri,https://cheers.com.np/liquor/product/khukri-spiced-rum-750ml,2023-09-24,Flavours that are extracted from authentic Nepalese spices are masterfully blended with distills of rich molasses and fresh spring water from the Himalayas.,"It is then aged in homes of exclusive wooden casks at high altitudes  resulting in a tasteful concoction of assorted spices enriched with dry fruits that ends with a sweet, smooth and long finish.",COLOUR: Modern Auburn
Khukri XXX Rum 750ML,Rum,Domestic Rum,"Rs. 2,010",N/A,1,Nepal,750ML,42.8%,Khukri,https://cheers.com.np/liquor/product/khukri-xxx-rum-750ml,2023-09-24,"Born in the Himalayas, Khukri XXX Rum is an exceptional dark blend, distilled with rich molasses, Himalayan spring water, and natural artisanal flavours.","Aged among snowy peaks in casks born from the region-exclusive Shorea Robusta tree, every sip of Khukri XXX Rum delivers a complex taste with rich natural flavours, earthy undertones and a smooth, long caramel finish.",COLOUR: Modern Auburn
Khukri White Rum 750ML,Rum,Domestic Rum,"Rs. 2,400",N/A,1,Nepal,750ML,40%,Khukri,https://cheers.com.np/liquor/product/khukri-white-rum-750ml,2023-09-24,Khukri White is a complex yet light white rum.,"Presenting delicate notes of tropical fruits with rich nutty undertones and a creamy character, Khukri White is charcoal filtered for an extra smooth taste.",This makes Khukri White Rum perfect for sipping neat or mixing in cocktails.
Malibu White Rum with Coconut 1L,Rum,Imported Rum,"Rs. 7,150",N/A,1,Barbados,1000ML,21%,Malibu,https://cheers.com.np/liquor/product/malibu-white-rum-with-coconut-1l,2023-09-24,"Malibu Coconut Rum is distilled from fermented molasses and blended with coconut and sugar. An iconic coconut spiced Rum that is a must have in many tropical cocktails. Malibu on the rocks, makes a lively, refreshing drink on a hot summer's night.",,
San Miguel 650ML x 24 Bottles + 1 Double Rain Coat Free,Offers,Offers,"Rs. 9,000",N/A,1,Nepal,650ML,5%,San Miguel,https://cheers.com.np/liquor/product/san-miguel-650ml-x-24-bottles-1-double-rain-coat-free,2023-09-24,~~ San Miguel Beer Special Offer ~~,Buy 2 Cases and Get 1 Exclusive Double Head Bike Raincoat FREE!,~~~~~~
Ruslan Premium 750ML + 1 Umbrella Free,Offers,Offers,"Rs. 2,155",N/A,1,Nepal,750ML,40%,Ruslan,https://cheers.com.np/liquor/product/ruslan-premium-750ml-1-umbrella-free,2023-09-24,~~,~~,Get 1 exclusive Umbrella FREE with each bottle!
